Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,property_id,temperature,humidity,description,feels_like,Rent_per_Sqft,Log_Rent,Is_Furnished,Monthly_Rental_Income,Est_Property_Value,Rent_Yield_Estimate,City_Median_Rent_Sqft,Investment_Label,Locality_Desirability_Score,City_Encoded
2022-06-21,1,5000,250,1 out of 2,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,1,Contact Agent,11,31.01,71,overcast clouds,37.93,20.0,8.517393171418904,0,5000,1500000,4.0,13.315602836879432,1,8.0,0
2022-06-07,2,26000,800,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,Unfurnished,Bachelors,2,Contact Agent,12,31.01,71,overcast clouds,37.93,32.5,10.165890277802454,0,26000,4800000,6.5,13.315602836879432,1,10.0,0
2022-06-20,2,10000,1000,1 out of 3,Carpet Area,Natunhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,13,31.01,71,overcast clouds,37.93,10.0,9.210440366976517,1,10000,6000000,2.0,13.315602836879432,0,3.0,0
2022-05-25,1,6000,700,1 out of 2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,14,31.01,71,overcast clouds,37.93,8.571428571428571,8.699681400989514,0,6000,4200000,1.7142857142857144,13.315602836879432,0,2.0,0
2022-05-14,2,11000,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,15,31.01,71,overcast clouds,37.93,12.222222222222221,9.305741456739435,1,11000,5400000,2.4444444444444446,13.315602836879432,0,5.0,0
2022-07-04,2,9500,700,1 out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,16,31.01,71,overcast clouds,37.93,13.571428571428571,9.15915233520675,0,9500,4200000,2.7142857142857144,13.315602836879432,1,6.0,0
2022-06-27,2,10000,450,2 out of 1,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,17,31.01,71,overcast clouds,37.93,22.22222222222222,9.210440366976517,1,10000,2700000,4.444444444444445,13.315602836879432,1,9.0,0
2022-05-27,1,7000,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,18,31.01,71,overcast clouds,37.93,11.666666666666666,8.853808274977197,0,7000,3600000,2.3333333333333335,13.315602836879432,0,4.0,0
2022-06-19,2,6000,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,19,31.01,71,overcast clouds,37.93,5.0,8.699681400989514,0,6000,7200000,1.0,13.315602836879432,0,1.0,0
2022-05-06,1,3500,120,Ground out of 3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,20,31.01,71,overcast clouds,37.93,29.166666666666668,8.160803920954665,0,3500,720000,5.833333333333333,13.315602836879432,1,10.0,0
2022-06-19,1,6000,320,Ground out of 2,Carpet Area,Sahid Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,21,31.01,71,overcast clouds,37.93,18.75,8.699681400989514,0,6000,1920000,3.75,13.315602836879432,1,8.0,0
2022-06-01,2,9000,800,1 out of 2,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,22,31.01,71,overcast clouds,37.93,11.25,9.105090961257085,1,9000,4800000,2.25,13.315602836879432,0,4.0,0
2022-06-07,3,40000,1220,2 out of 3,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,23,31.01,71,overcast clouds,37.93,32.78688524590164,10.596659732783579,0,40000,7320000,6.557377049180328,13.315602836879432,1,10.0,0
2022-06-17,2,8000,900,Ground out of 3,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,24,31.01,71,overcast clouds,37.93,8.88888888888889,8.987321812850125,1,8000,5400000,1.7777777777777777,13.315602836879432,0,2.0,0
2022-06-19,2,6000,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,25,31.01,71,overcast clouds,37.93,5.0,8.699681400989514,1,6000,7200000,1.0,13.315602836879432,0,1.0,0
2022-05-27,3,40000,1400,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,26,31.01,71,overcast clouds,37.93,28.571428571428573,10.596659732783579,1,40000,8400000,5.714285714285714,13.315602836879432,1,10.0,0
2022-06-23,3,16500,1100,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,27,31.01,71,overcast clouds,37.93,15.0,9.711176264112805,0,16500,6600000,3.0,13.315602836879432,1,7.0,0
2022-06-12,3,8000,700,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner,28,31.01,71,overcast clouds,37.93,11.428571428571429,8.987321812850125,0,8000,4200000,2.2857142857142856,13.315602836879432,0,4.0,0
2022-07-02,2,7000,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,29,31.01,71,overcast clouds,37.93,10.76923076923077,8.853808274977197,1,7000,3900000,2.1538461538461537,13.315602836879432,0,3.0,0
2022-05-10,2,12000,800,Ground out of 3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,30,31.01,71,overcast clouds,37.93,15.0,9.392745258631441,1,12000,4800000,3.0,13.315602836879432,1,7.0,0
2022-07-06,2,8500,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,31,31.01,71,overcast clouds,37.93,11.805555555555555,9.04793908261736,1,8500,4320000,2.361111111111111,13.315602836879432,0,4.0,0
2022-06-24,1,6000,2160,1 out of 2,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,32,31.01,71,overcast clouds,37.93,2.7777777777777777,8.699681400989514,1,6000,12960000,0.5555555555555556,13.315602836879432,0,1.0,0
2022-07-02,1,5000,300,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner,33,31.01,71,overcast clouds,37.93,16.666666666666668,8.517393171418904,0,5000,1800000,3.3333333333333335,13.315602836879432,1,7.0,0
2022-05-23,3,25000,1200,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,34,31.01,71,overcast clouds,37.93,20.833333333333332,10.12667110305036,1,25000,7200000,4.166666666666666,13.315602836879432,1,9.0,0
2022-06-21,3,30000,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,35,31.01,71,overcast clouds,37.93,25.0,10.308985993422082,0,30000,7200000,5.0,13.315602836879432,1,9.0,0
2022-06-07,1,5000,400,1 out of 1,Carpet Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,36,31.01,71,overcast clouds,37.93,12.5,8.517393171418904,0,5000,2400000,2.5,13.315602836879432,0,5.0,0
2022-06-22,2,15000,650,Ground out of 2,Carpet Area,kasba bosepukur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,37,31.01,71,overcast clouds,37.93,23.076923076923077,9.61587214452889,1,15000,3900000,4.615384615384616,13.315602836879432,1,9.0,0
2022-06-04,2,10000,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,38,31.01,71,overcast clouds,37.93,14.285714285714286,9.210440366976517,0,10000,4200000,2.857142857142857,13.315602836879432,1,6.0,0
2022-06-16,2,6500,800,1 out of 1,Super Area,Kanchrapara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,39,31.01,71,overcast clouds,37.93,8.125,8.77971129020447,1,6500,4800000,1.625,13.315602836879432,0,2.0,0
2022-05-14,1,6500,250,1 out of 4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1,Contact Owner,40,31.01,71,overcast clouds,37.93,26.0,8.77971129020447,1,6500,1500000,5.2,13.315602836879432,1,10.0,0
2022-06-08,3,8000,800,2 out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,41,31.01,71,overcast clouds,37.93,10.0,8.987321812850125,1,8000,4800000,2.0,13.315602836879432,0,3.0,0
2022-05-09,1,5500,375,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,42,31.01,71,overcast clouds,37.93,14.666666666666666,8.612685172875459,0,5500,2250000,2.933333333333333,13.315602836879432,1,6.0,0
2022-05-05,1,5500,500,Ground out of 2,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,43,31.01,71,overcast clouds,37.93,11.0,8.612685172875459,0,5500,3000000,2.1999999999999997,13.315602836879432,0,3.0,0
2022-05-05,3,8500,900,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner,44,31.01,71,overcast clouds,37.93,9.444444444444445,9.04793908261736,0,8500,5400000,1.8888888888888888,13.315602836879432,0,2.0,0
2022-06-28,3,9000,1700,1 out of 2,Super Area,Panchanantala Road,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,45,31.01,71,overcast clouds,37.93,5.294117647058823,9.105090961257085,1,9000,10200000,1.0588235294117647,13.315602836879432,0,1.0,0
2022-06-01,3,40000,1286,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,46,31.01,71,overcast clouds,37.93,31.104199066874028,10.596659732783579,1,40000,7716000,6.2208398133748055,13.315602836879432,1,10.0,0
2022-05-17,2,6000,600,1 out of 2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,47,31.01,71,overcast clouds,37.93,10.0,8.699681400989514,1,6000,3600000,2.0,13.315602836879432,0,3.0,0
2022-06-20,2,10000,800,Ground out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,48,31.01,71,overcast clouds,37.93,12.5,9.210440366976517,0,10000,4800000,2.5,13.315602836879432,0,5.0,0
2022-06-09,2,11000,2000,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,49,31.01,71,overcast clouds,37.93,5.5,9.305741456739435,0,11000,12000000,1.0999999999999999,13.315602836879432,0,1.0,0
2022-06-09,2,6000,660,1 out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,50,31.01,71,overcast clouds,37.93,9.090909090909092,8.699681400989514,0,6000,3960000,1.8181818181818181,13.315602836879432,0,2.0,0
2022-07-02,2,7900,650,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1,Contact Owner,51,31.01,71,overcast clouds,37.93,12.153846153846153,8.974744612722734,0,7900,3900000,2.430769230769231,13.315602836879432,0,5.0,0
2022-06-14,2,9000,400,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2,Contact Owner,52,31.01,71,overcast clouds,37.93,22.5,9.105090961257085,0,9000,2400000,4.5,13.315602836879432,1,9.0,0
2022-06-15,1,4000,300,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,53,31.01,71,overcast clouds,37.93,13.333333333333334,8.294299608857235,0,4000,1800000,2.666666666666667,13.315602836879432,1,6.0,0
2022-06-15,3,6500,1600,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,54,31.01,71,overcast clouds,37.93,4.0625,8.77971129020447,0,6500,9600000,0.8125,13.315602836879432,0,1.0,0
2022-05-28,1,8000,400,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,55,31.01,71,overcast clouds,37.93,20.0,8.987321812850125,1,8000,2400000,4.0,13.315602836879432,1,8.0,0
2022-05-22,2,7000,1000,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,56,31.01,71,overcast clouds,37.93,7.0,8.853808274977197,0,7000,6000000,1.4000000000000001,13.315602836879432,0,1.0,0
2022-06-18,1,5300,355,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,57,31.01,71,overcast clouds,37.93,14.929577464788732,8.575650760987806,1,5300,2130000,2.9859154929577465,13.315602836879432,1,7.0,0
2022-06-25,2,6000,1000,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,58,31.01,71,overcast clouds,37.93,6.0,8.699681400989514,1,6000,6000000,1.2,13.315602836879432,0,1.0,0
2022-06-22,2,8500,800,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,59,31.01,71,overcast clouds,37.93,10.625,9.04793908261736,0,8500,4800000,2.125,13.315602836879432,0,3.0,0
2022-06-25,2,12500,850,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,60,31.01,71,overcast clouds,37.93,14.705882352941176,9.433563920090563,0,12500,5100000,2.941176470588235,13.315602836879432,1,6.0,0
2022-05-21,1,7500,350,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,61,31.01,71,overcast clouds,37.93,21.428571428571427,8.922791623969637,0,7500,2100000,4.285714285714286,13.315602836879432,1,9.0,0
2022-06-26,2,15000,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,62,31.01,71,overcast clouds,37.93,16.666666666666668,9.61587214452889,0,15000,5400000,3.3333333333333335,13.315602836879432,1,7.0,0
2022-06-27,2,6500,670,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner,63,31.01,71,overcast clouds,37.93,9.701492537313433,8.77971129020447,0,6500,4020000,1.9402985074626864,13.315602836879432,0,2.0,0
2022-06-16,2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,64,31.01,71,overcast clouds,37.93,10.909090909090908,8.699681400989514,1,6000,3300000,2.181818181818182,13.315602836879432,0,3.0,0
2022-06-29,2,5000,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,65,31.01,71,overcast clouds,37.93,10.0,8.517393171418904,0,5000,3000000,2.0,13.315602836879432,0,3.0,0
2022-05-10,3,22000,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,66,31.01,71,overcast clouds,37.93,20.0,9.99884318585288,0,22000,6600000,4.0,13.315602836879432,1,8.0,0
2022-05-12,2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,67,31.01,71,overcast clouds,37.93,17.647058823529413,9.61587214452889,1,15000,5100000,3.5294117647058822,13.315602836879432,1,8.0,0
2022-04-30,4,40000,1300,1 out of 2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,68,31.01,71,overcast clouds,37.93,30.76923076923077,10.596659732783579,0,40000,7800000,6.153846153846154,13.315602836879432,1,10.0,0
2022-06-03,2,12500,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent,69,31.01,71,overcast clouds,37.93,15.625,9.433563920090563,0,12500,4800000,3.125,13.315602836879432,1,7.0,0
2022-05-06,1,5000,190,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,70,31.01,71,overcast clouds,37.93,26.31578947368421,8.517393171418904,1,5000,1140000,5.263157894736842,13.315602836879432,1,10.0,0
2022-05-31,2,7000,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,71,31.01,71,overcast clouds,37.93,11.11111111111111,8.853808274977197,0,7000,3780000,2.2222222222222223,13.315602836879432,0,4.0,0
2022-05-24,2,9000,700,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,72,31.01,71,overcast clouds,37.93,12.857142857142858,9.105090961257085,1,9000,4200000,2.571428571428571,13.315602836879432,0,5.0,0
2022-06-17,1,7000,240,Ground out of 4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,73,31.01,71,overcast clouds,37.93,29.166666666666668,8.853808274977197,0,7000,1440000,5.833333333333333,13.315602836879432,1,10.0,0
2022-06-10,2,21000,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,74,31.01,71,overcast clouds,37.93,23.333333333333332,9.952325334619427,1,21000,5400000,4.666666666666667,13.315602836879432,1,9.0,0
2022-06-24,1,10000,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,75,31.01,71,overcast clouds,37.93,37.03703703703704,9.210440366976517,1,10000,1620000,7.4074074074074066,13.315602836879432,1,10.0,0
2022-05-19,2,18000,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner,76,31.01,71,overcast clouds,37.93,21.176470588235293,9.798182590890704,1,18000,5100000,4.235294117647059,13.315602836879432,1,9.0,0
2022-06-29,2,7200,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,77,31.01,71,overcast clouds,37.93,11.428571428571429,8.881975184248867,1,7200,3780000,2.2857142857142856,13.315602836879432,0,4.0,0
2022-05-26,1,9000,950,1 out of 2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,78,31.01,71,overcast clouds,37.93,9.473684210526315,9.105090961257085,0,9000,5700000,1.8947368421052633,13.315602836879432,0,2.0,0
2022-05-12,3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner,79,31.01,71,overcast clouds,37.93,8.0,9.392745258631441,1,12000,9000000,1.6,13.315602836879432,0,1.0,0
2022-06-11,1,5500,450,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,80,31.01,71,overcast clouds,37.93,12.222222222222221,8.612685172875459,1,5500,2700000,2.4444444444444446,13.315602836879432,0,5.0,0
2022-04-27,1,6000,130,Ground out of 2,Carpet Area,Bow Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,81,31.01,71,overcast clouds,37.93,46.15384615384615,8.699681400989514,1,6000,780000,9.230769230769232,13.315602836879432,1,10.0,0
2022-06-26,1,5000,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,82,31.01,71,overcast clouds,37.93,8.333333333333334,8.517393171418904,0,5000,3600000,1.6666666666666667,13.315602836879432,0,2.0,0
2022-06-08,2,7500,800,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner,83,31.01,71,overcast clouds,37.93,9.375,8.922791623969637,0,7500,4800000,1.875,13.315602836879432,0,2.0,0
2022-05-14,1,15000,505,Ground out of 3,Super Area,Kasba,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,84,31.01,71,overcast clouds,37.93,29.702970297029704,9.61587214452889,1,15000,3030000,5.9405940594059405,13.315602836879432,1,10.0,0
2022-07-02,2,4000,600,1 out of 2,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,85,31.01,71,overcast clouds,37.93,6.666666666666667,8.294299608857235,0,4000,3600000,1.3333333333333335,13.315602836879432,0,1.0,0
2022-05-30,3,10500,800,2 out of 2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner,86,31.01,71,overcast clouds,37.93,13.125,9.259225769705994,0,10500,4800000,2.625,13.315602836879432,0,5.0,0
2022-04-30,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,87,31.01,71,overcast clouds,37.93,12.142857142857142,9.04793908261736,1,8500,4200000,2.4285714285714284,13.315602836879432,0,5.0,0
2022-06-24,3,30000,2000,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,88,31.01,71,overcast clouds,37.93,15.0,10.308985993422082,1,30000,12000000,3.0,13.315602836879432,1,7.0,0
2022-07-04,4,30000,4000,Ground out of 3,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Furnished,Bachelors/Family,3,Contact Agent,89,31.01,71,overcast clouds,37.93,7.5,10.308985993422082,1,30000,24000000,1.5,13.315602836879432,0,1.0,0
2022-05-27,1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,90,31.01,71,overcast clouds,37.93,20.0,8.699681400989514,1,6000,1800000,4.0,13.315602836879432,1,8.0,0
2022-06-06,2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner,91,31.01,71,overcast clouds,37.93,7.6923076923076925,9.210440366976517,1,10000,7800000,1.5384615384615385,13.315602836879432,0,1.0,0
2022-05-22,3,30000,1250,Ground out of 2,Super Area,New Alipore,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,92,31.01,71,overcast clouds,37.93,24.0,10.308985993422082,0,30000,7500000,4.8,13.315602836879432,1,9.0,0
2022-07-03,3,15000,1100,Ground out of 2,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,93,31.01,71,overcast clouds,37.93,13.636363636363637,9.61587214452889,0,15000,6600000,2.727272727272727,13.315602836879432,1,6.0,0
2022-05-14,1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,94,31.01,71,overcast clouds,37.93,14.0,8.160803920954665,1,3500,1500000,2.8000000000000003,13.315602836879432,1,6.0,0
2022-05-20,2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,95,31.01,71,overcast clouds,37.93,11.5,8.434028950155469,1,4600,2400000,2.3,13.315602836879432,0,4.0,0
2022-06-16,2,15000,800,Ground out of 2,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,96,31.01,71,overcast clouds,37.93,18.75,9.61587214452889,1,15000,4800000,3.75,13.315602836879432,1,8.0,0
2022-07-02,2,12000,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner,97,31.01,71,overcast clouds,37.93,18.46153846153846,9.392745258631441,0,12000,3900000,3.6923076923076925,13.315602836879432,1,8.0,0
2022-05-13,1,50000,2200,2 out of 5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner,98,31.01,71,overcast clouds,37.93,22.727272727272727,10.819798284210286,1,50000,13200000,4.545454545454546,13.315602836879432,1,9.0,0
2022-06-15,1,5000,700,Ground out of 2,Carpet Area,My Own House,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,99,31.01,71,overcast clouds,37.93,7.142857142857143,8.517393171418904,0,5000,4200000,1.4285714285714286,13.315602836879432,0,1.0,0
2022-06-26,2,8000,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,100,31.01,71,overcast clouds,37.93,7.2727272727272725,8.987321812850125,0,8000,6600000,1.4545454545454546,13.315602836879432,0,1.0,0
2022-07-02,1,5000,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,101,31.01,71,overcast clouds,37.93,16.666666666666668,8.517393171418904,0,5000,1800000,3.3333333333333335,13.315602836879432,1,7.0,0
2022-06-12,2,15000,900,Ground out of 1,Super Area,"Park Circus, Ballygunge",Kolkata,Unfurnished,Bachelors,1,Contact Owner,102,31.01,71,overcast clouds,37.93,16.666666666666668,9.61587214452889,0,15000,5400000,3.3333333333333335,13.315602836879432,1,7.0,0
